IBM,JPM,GE
70.0,30.75,28.0986
68.4,29.6,28.48
69.51,28.9,27.32
71.0,29.0117,28.4
70.5,27.6,28.05
70.96,26.55,27.1
71.25,25.96,26.5
68.25,23.65,25.98
66.0,19.01,24.19
68.9,23.75,26.6
68.75,23.2,27.05
70.37,23.75,28.898
70.5,24.6,30.0
70.75,24.8,31.6
70.4,24.96,32.1
68.21,24.53,30.85
67.94,22.88,29.35
67.0,23.4993,29.25
69.0014,24.42,30.47
69.2,25.3,30.8
70.61,25.6,31.5
71.05,25.8,31.76
71.55,24.95,31.8
71.95,24.4,30.75
75.4,25.12,31.9
76.5,24.79,32.0
79.35,24.98,31.55
81.56,27.01,32.65
81.9,26.5,32.65
80.95,26.4,32.4
81.2,26.3,32.25
80.4,25.75,32.35
80.4,27.0,32.5
76.0,26.4014,31.6
75.6,25.9,30.5
75.55,26.25,30.2
74.2,25.65,29.5
72.35,24.76,28.6
72.74,24.63,28.3
73.7518,25.04,28.85
72.45,23.2,28.15
74.6,23.9,29.2
76.4001,24.0104,29.3594
74.05,22.88,28.75
71.5,22.01,27.65
72.0,21.6,27.1
73.0,22.2,28.94
70.65,19.06,27.2
64.8,20.0,26.75
65.4,20.12,26.56
63.75,19.56,26.3517
61.08,19.26,25.65
61.2036,19.03,27.0
64.2,18.89,27.5
61.43,19.27,25.25
59.55,18.35,24.0
59.2,19.15,24.75
61.18,19.14,25.75
60.3,18.26,24.85
59.4963,17.63,25.25
56.6,16.55,24.02
57.78,17.25,23.25
56.05,16.05,22.55
54.65,15.4618,21.65
62.0,16.44,23.98
61.54,17.0105,24.2006
67.75,18.3005,25.5
66.6,18.15,25.85
72.8,19.5989,26.9
71.73,18.78,26.6
73.65,18.68,26.2036
74.5,19.98,27.01
74.4,19.7,26.95
75.5,20.24,27.1
72.5,19.52,25.8
75.15,21.0,26.85
76.56,20.8017,26.2
77.0,20.5,25.65
78.67,21.05,25.2
78.9,20.75,25.28
81.99,22.35,26.5
81.75,21.82,26.4
80.8,22.95,26.8995
79.9913,21.2,26.61
78.4983,20.6,25.85
77.59,20.22,24.75
77.5,20.3107,24.3
79.5,20.5,23.9
80.38,21.42,24.6
80.38,21.93,23.5
80.8,22.24,24.02
78.24,21.66,23.3
77.95,22.3,23.8
82.05,24.05,24.8
83.95,24.31,26.6
84.63,25.0,26.1995
86.15,24.9,26.5
85.9,24.55,26.65
87.7039,25.3982,27.3
88.6,25.99,27.98
86.72,25.1,27.19
83.41,24.62,26.5
84.9,24.7,26.75
81.5,22.96,25.25
81.0,23.86,25.65
78.6,23.27,25.72
80.8094,23.86,25.75
81.25,24.09,26.1
79.25,23.95,25.91
79.6,23.8,25.6484
80.6,24.8,26.4321
79.25,24.45,25.9
78.6,24.01,25.45
79.4,23.8,25.85
79.75,24.4,25.65
80.2,24.6,25.4
79.81,24.2,25.57
78.5,24.45,25.2
77.0,24.01,24.53
77.1,23.99,24.35
78.8,25.25,24.65
80.7,25.5,25.35
81.9,26.0,25.4
83.95,27.98,25.99
85.55,27.25,25.85
84.75,26.85,25.75
85.85,26.85,25.5487
88.31,27.4,25.75
87.233,27.5,25.7
88.58,27.551,25.93
87.4,27.08,25.5
83.74,26.35,24.97
81.3,26.52,24.89
80.0,25.42,24.05
80.15,25.1,23.65
80.6,24.85,23.8
77.99,23.75,23.05
78.5,23.6,23.6
79.5,23.2,22.8
81.3052,23.5,23.04
77.7,22.75,22.5
78.2,23.5,23.35
78.18,23.59,23.15
77.85,23.25,23.2
77.11,22.67,22.9
77.9678,22.6,23.0
77.1,22.0,22.61
78.3,22.45,22.6508
77.5,22.0,22.5
76.1,21.4998,22.283
76.4,21.3,22.08
78.02,22.08,22.54
79.0772,22.5,22.92
79.57,22.6,23.3
79.49,22.59,23.45
79.7,22.8895,23.95
77.9,22.0,23.15
78.45,22.35,23.85
77.9,22.4,23.47
77.0,22.64,23.8997
78.9,23.15,24.2
77.6,22.85,23.73
76.7,22.41,23.25
77.0,22.42,23.6
75.71,21.6904,23.5
77.45,21.87,23.9
75.82,21.55,23.67
75.25,20.5003,23.22
75.9889,21.25,24.209
78.45,21.77,25.25
77.9967,21.25,25.0
82.46,22.88,26.3
82.09,22.85,26.39
81.71,22.78,26.86
82.76,23.89,27.24
82.46,23.75,26.85
82.0,23.57,26.73
83.0,23.9,26.98
80.75,24.0087,26.05
81.05,24.12,26.25
79.26,23.75,25.45
78.5,24.15,25.55
79.9,24.8,26.95
82.32,25.4,27.28
82.35,25.34,27.57
82.6083,26.46,28.34
80.62,25.85,27.95
79.7,26.05,27.88
79.1,25.73,27.29
80.1,26.0,27.68
78.5,25.98,27.39
80.07,26.51,27.9
83.38,27.54,28.3
81.89,26.5,27.84
84.4,27.31,28.47
83.36,27.32,28.1
85.24,28.75,28.99
84.65,28.73,29.0
85.21,28.75,29.07
84.05,28.0004,28.75
85.34,28.69,29.68
85.66,29.14,29.28
85.3,29.3526,29.45
84.45,29.15,28.8
87.2,30.0,29.04
86.3,30.25,28.79
86.95,30.45,29.22
86.37,30.45,28.7
86.9,30.08,28.6
87.55,30.08,28.88
88.7758,30.94,28.75
90.0,30.73,28.88
89.5,30.8,28.7
89.67,31.04,28.4
88.05,31.25,27.65
86.58,30.42,27.74
85.77,30.1,27.43
86.25,30.4,27.7
85.75,30.5479,27.73
84.51,30.7,27.5
87.6,32.2,28.55
87.57,32.75,28.27
87.45,32.59,28.4
89.0,33.35,29.42
84.32,33.92,29.0
84.0014,33.65,29.08
84.0,34.6902,29.3328
82.25,35.77,30.21
80.0,34.6,30.05
82.35,34.0,30.3
82.7468,34.3,30.59
84.8,34.99,31.09
84.1456,34.8503,31.0
83.1,34.95,30.85
84.95,35.99,31.4213
84.15,35.6,31.11
84.95,35.25,30.26
85.0,34.85,30.2
84.79,34.5488,29.96
82.95,33.75,29.87
83.55,34.2986,29.84
83.7,34.0,29.05
84.1464,34.4,29.2
83.9,34.25,28.72
81.4,33.84,28.48
83.95,34.24,28.82
84.25,33.8,28.62
84.8,34.48,28.93
86.09,35.0689,29.27
86.1,35.48,28.8519
85.0,35.45,28.38
84.1,35.21,28.35
86.0,36.48,28.5
86.15,37.54,28.24
87.0,38.2631,27.7192
82.7,36.25,27.1526
83.85,35.23,27.58
83.2,35.1,27.77
82.5,34.5,27.2
82.0,35.1,27.4
82.95,35.3501,27.65
81.6,34.75,27.68
83.67,35.47,28.55
82.5541,35.58,28.38
82.45,35.5,28.15
81.8,35.65,28.35
81.15,35.08,28.2
80.75,33.36,28.46
81.13,33.65,28.26
79.7,33.0,27.8
79.69,32.7618,27.68
81.05,33.22,27.94
80.87,32.9899,28.05
81.45,33.47,28.3183
81.65,33.8,28.44
81.0,33.43,28.2
81.8,34.0,28.8
82.05,34.1,29.0
83.1,34.15,29.9
82.0,34.68,29.84
83.39,35.05,29.7
84.25,34.83,30.3
82.85,33.72,29.78
81.65,33.5,29.65
82.0,33.15,29.63
82.0,33.26,29.8
81.9518,33.96,29.58
82.406,34.42,29.75
86.24,34.7,30.55
86.33,34.87,31.11
87.0,34.43,30.938
88.45,34.34,31.03
89.2,34.5,31.06
88.99,33.92,31.05
86.75,33.75,31.05
87.6,33.52,31.43
89.7,34.0018,31.5
88.49,33.89,31.23
90.4044,34.6,31.78
90.63,34.87,31.77
92.45,35.5,32.42
92.24,35.01,31.6
91.5,34.99,31.3
91.08,35.5,31.6
89.4,35.0,30.83
89.41,34.52,30.12
89.25,34.4,30.0
89.2,34.6,30.25
88.75,34.7,29.81
89.55,35.15,30.54
91.0,35.68,31.15
90.74,35.2,31.0
90.5,35.55,30.58
92.0,36.2,30.55
93.3,36.05,30.53
92.4,35.7,29.65
93.1,35.56,29.52
92.65,36.5,28.9
93.9,36.94,29.41
89.27,36.55,28.83
89.28,36.62,29.02
89.3518,36.15,28.75
89.25,36.6,29.0
88.3,35.1,28.78
87.6,34.7,28.35
88.15,35.0,28.39
88.8,35.25,28.5
